time,vehicles,queue,speed
1.0,0,0,66.68
2.0,0,0,66.68
3.0,0,0,66.68
4.0,0,0,66.68
5.0,0,0,66.68
6.0,0,0,66.68
7.0,0,0,66.68
8.0,0,0,66.68
9.0,0,0,66.68
10.0,0,0,66.68
11.0,0,0,66.68
12.0,0,0,66.68
13.0,0,0,66.68
14.0,0,0,66.68
15.0,0,0,66.68
16.0,0,0,66.68
17.0,0,0,66.68
18.0,0,0,66.68
19.0,0,0,66.68
20.0,0,0,66.68
21.0,0,0,66.68
22.0,0,0,66.68
23.0,0,0,66.68
24.0,0,0,66.68
25.0,0,0,66.68
26.0,0,0,66.68
27.0,0,0,66.68
28.0,0,0,66.68
29.0,0,0,66.68
30.0,0,0,66.68
31.0,0,0,66.68
32.0,0,0,66.68
33.0,0,0,66.68
34.0,0,0,66.68
35.0,0,0,66.68
36.0,0,0,66.68
37.0,0,0,66.68
38.0,1,0,65.70478199195205
39.0,1,0,65.25050097055356
40.0,1,0,65.62042576434179
41.0,1,0,65.1322012659497
42.0,1,0,65.69613437513908
43.0,1,0,63.97089580531389
44.0,0,0,66.68
45.0,0,0,66.68
46.0,0,0,66.68
47.0,1,0,64.10733599993132
48.0,1,0,64.88592684390532
49.0,1,0,65.53959230691858
50.0,1,0,65.63810747527887
51.0,1,0,65.69332845471548
52.0,1,0,65.79986716912963
53.0,1,0,65.54410130440604
54.0,1,0,65.6912041833007
55.0,1,0,66.04667354683272
56.0,1,0,65.88392058579132
57.0,1,0,64.41110841495274
58.0,1,0,62.161108414952736
59.0,1,0,59.911108414952736
60.0,0,0,66.68
61.0,0,0,66.68
62.0,0,0,66.68
63.0,0,0,66.68
64.0,0,0,66.68
65.0,0,0,66.68
66.0,0,0,66.68
67.0,0,0,66.68
68.0,0,0,66.68
69.0,0,0,66.68
70.0,0,0,66.68
71.0,0,0,66.68
72.0,0,0,66.68
73.0,0,0,66.68
74.0,0,0,66.68
75.0,0,0,66.68
76.0,0,0,66.68
77.0,0,0,66.68
78.0,0,0,66.68
79.0,0,0,66.68
80.0,0,0,66.68
81.0,0,0,66.68
82.0,0,0,66.68
83.0,1,0,66.70601146023763
84.0,1,0,66.69373492456239
85.0,1,0,66.88812588660245
86.0,1,0,66.81029243318407
87.0,1,0,66.85298083361437
88.0,0,0,66.68
89.0,0,0,66.68
90.0,0,0,66.68
91.0,0,0,66.68
92.0,0,0,66.68
93.0,0,0,66.68
94.0,0,0,66.68
95.0,0,0,66.68
96.0,0,0,66.68
97.0,0,0,66.68
98.0,0,0,66.68
99.0,0,0,66.68
100.0,0,0,66.68
101.0,0,0,66.68
102.0,0,0,66.68
103.0,0,0,66.68
104.0,0,0,66.68
105.0,0,0,66.68
106.0,0,0,66.68
107.0,0,0,66.68
108.0,0,0,66.68
109.0,0,0,66.68
110.0,0,0,66.68
111.0,0,0,66.68
112.0,0,0,66.68
113.0,0,0,66.68
114.0,1,0,66.33870373469614
115.0,1,0,66.29445405632794
116.0,1,0,66.54621209838731
117.0,1,0,66.40116013538861
118.0,1,0,64.58135215208486
119.0,1,0,62.66903045952377
120.0,2,0,59.94079724633595
121.0,1,0,66.27468671807492
122.0,1,0,66.15446155231385
123.0,1,0,66.2918176865463
124.0,1,0,66.34031337870069
125.0,1,0,66.29698361755443
126.0,0,0,66.68
127.0,0,0,66.68
128.0,0,0,66.68
129.0,0,0,66.68
130.0,0,0,66.68
131.0,0,0,66.68
132.0,0,0,66.68
133.0,0,0,66.68
134.0,0,0,66.68
135.0,0,0,66.68
136.0,0,0,66.68
137.0,0,0,66.68
138.0,0,0,66.68
139.0,0,0,66.68
140.0,0,0,66.68
141.0,0,0,66.68
142.0,0,0,66.68
143.0,0,0,66.68
144.0,0,0,66.68
145.0,0,0,66.68
146.0,2,0,63.37663474074079
147.0,2,0,64.19804818238731
148.0,3,0,62.35751748277707
149.0,4,0,60.22857603277437
150.0,4,0,61.14896426000602
151.0,7,0,56.80424678802213
152.0,7,0,56.137580855082554
153.0,7,0,51.80763045823073
154.0,7,0,53.32061190884322
155.0,6,1,55.05631450422697
156.0,7,1,55.00209297387578
157.0,6,1,55.013386320449364
158.0,5,1,55.45246269000007
159.0,4,1,58.264688629758325
160.0,3,2,57.515331932287836
161.0,3,2,56.39222742859966
162.0,3,2,55.41518486504397
163.0,3,2,54.590132470632994
164.0,3,2,54.2608965226297
165.0,3,2,54.22628804956295
166.0,3,3,54.18952309456258
167.0,3,3,54.17814121436736
168.0,1,1,61.12360165732406
169.0,1,0,61.58473747091547
170.0,1,0,62.33155761027267
171.0,1,0,62.252255228425085
172.0,2,0,62.38143558724694
173.0,2,0,63.34009999096304
174.0,2,0,64.38803394175045
175.0,2,0,65.57782371652766
176.0,2,0,66.5854921554152
177.0,1,0,65.87218121246484
178.0,0,0,66.68
179.0,0,0,66.68
180.0,0,0,66.68
181.0,0,0,66.68
182.0,0,0,66.68
183.0,0,0,66.68
184.0,0,0,66.68
185.0,0,0,66.68
186.0,0,0,66.68
187.0,0,0,66.68
188.0,0,0,66.68
189.0,0,0,66.68
190.0,2,0,62.68366605718652
191.0,2,0,62.9082833005817
192.0,3,0,60.26514232774861
193.0,3,0,60.728319157185304
194.0,3,0,60.44359018712487
195.0,3,0,59.97863797107981
196.0,2,0,63.64608341875462
197.0,2,0,62.81160516120501
198.0,2,0,61.671068852772855
199.0,2,0,57.814480006427004
200.0,2,0,58.046434393850454
201.0,2,1,58.57131755066216
202.0,2,1,59.31599071833975
203.0,3,1,58.77088109438342
204.0,4,1,58.43204330158403
205.0,4,1,60.50825118568193
206.0,4,1,58.548796516785025
207.0,3,1,58.45510302807327
208.0,3,1,59.410004686240626
209.0,3,1,60.64567058061023
210.0,2,1,60.77467733492166
211.0,2,1,61.443391857507564
212.0,1,1,61.12333333333334
213.0,1,1,61.12333333333334
214.0,1,1,61.12333333333334
215.0,1,1,61.12333333333334
216.0,1,1,61.12333333333334
217.0,1,1,61.12333333333334
218.0,1,1,61.12333333333334
219.0,1,1,61.12333333333334
220.0,1,1,61.12333333333334
221.0,0,0,66.68
222.0,0,0,66.68
223.0,0,0,66.68
224.0,0,0,66.68
225.0,1,0,64.14695626467156
226.0,1,0,64.62539414608386
227.0,1,0,65.43984595320033
228.0,1,0,65.71775643547844
229.0,1,0,65.90053879462029
230.0,1,0,66.010561573701
231.0,1,0,64.69065400885242
232.0,1,0,66.16232900571404
233.0,1,0,66.32261840212314
234.0,2,0,66.10649915442661
