time,vehicles,queue,speed
1.0,0,0,66.68
2.0,0,0,66.68
3.0,0,0,66.68
4.0,0,0,66.68
5.0,0,0,66.68
6.0,0,0,66.68
7.0,0,0,66.68
8.0,0,0,66.68
9.0,0,0,66.68
10.0,0,0,66.68
11.0,0,0,66.68
12.0,0,0,66.68
13.0,0,0,66.68
14.0,0,0,66.68
15.0,0,0,66.68
16.0,0,0,66.68
17.0,0,0,66.68
18.0,0,0,66.68
19.0,0,0,66.68
20.0,0,0,66.68
21.0,0,0,66.68
22.0,0,0,66.68
23.0,0,0,66.68
24.0,0,0,66.68
25.0,0,0,66.68
26.0,0,0,66.68
27.0,0,0,66.68
28.0,0,0,66.68
29.0,0,0,66.68
30.0,0,0,66.68
31.0,0,0,66.68
32.0,0,0,66.68
33.0,0,0,66.68
34.0,0,0,66.68
35.0,0,0,66.68
36.0,0,0,66.68
37.0,0,0,66.68
38.0,1,0,65.70478199195205
39.0,1,0,65.25050097055356
40.0,1,0,65.62042576434179
41.0,1,0,65.1322012659497
42.0,1,0,65.69613437513908
43.0,1,0,63.97089580531389
44.0,0,0,66.68
45.0,0,0,66.68
46.0,0,0,66.68
47.0,1,0,64.10733599993132
48.0,1,0,64.88592684390532
49.0,1,0,65.53959230691858
50.0,1,0,65.63810747527887
51.0,1,0,65.69332845471548
52.0,1,0,65.79986716912963
53.0,1,0,65.54410130440604
54.0,1,0,65.6912041833007
55.0,1,0,66.04667354683272
56.0,1,0,65.88392058579132
57.0,1,0,64.41110841495274
58.0,1,0,62.161108414952736
59.0,1,0,59.911108414952736
60.0,0,0,66.68
61.0,0,0,66.68
62.0,0,0,66.68
63.0,0,0,66.68
64.0,0,0,66.68
65.0,0,0,66.68
66.0,0,0,66.68
67.0,0,0,66.68
68.0,0,0,66.68
69.0,0,0,66.68
70.0,0,0,66.68
71.0,0,0,66.68
72.0,0,0,66.68
73.0,0,0,66.68
74.0,0,0,66.68
75.0,0,0,66.68
76.0,0,0,66.68
77.0,0,0,66.68
78.0,0,0,66.68
79.0,0,0,66.68
80.0,0,0,66.68
81.0,0,0,66.68
82.0,0,0,66.68
83.0,1,0,66.70601146023763
84.0,1,0,66.69373492456239
85.0,1,0,66.88812588660245
86.0,1,0,66.81029243318407
87.0,1,0,66.85298083361437
88.0,0,0,66.68
89.0,0,0,66.68
90.0,0,0,66.68
91.0,0,0,66.68
92.0,0,0,66.68
93.0,0,0,66.68
94.0,0,0,66.68
95.0,0,0,66.68
96.0,0,0,66.68
97.0,0,0,66.68
98.0,0,0,66.68
99.0,0,0,66.68
100.0,0,0,66.68
101.0,0,0,66.68
102.0,0,0,66.68
103.0,0,0,66.68
104.0,0,0,66.68
105.0,0,0,66.68
106.0,0,0,66.68
107.0,0,0,66.68
108.0,0,0,66.68
109.0,0,0,66.68
110.0,0,0,66.68
111.0,0,0,66.68
112.0,0,0,66.68
113.0,0,0,66.68
114.0,1,0,66.33870373469614
115.0,1,0,66.29445405632794
116.0,1,0,66.54621209838731
117.0,1,0,66.40116013538861
118.0,1,0,64.58135215208486
119.0,1,0,62.66903045952377
120.0,1,0,60.41903045952377
121.0,0,0,66.68
122.0,1,0,65.3458261813175
123.0,1,0,65.94609623272575
124.0,1,0,66.15446155231385
125.0,1,0,66.2918176865463
126.0,1,0,66.34031337870069
127.0,1,0,66.29698361755443
128.0,0,0,66.68
129.0,0,0,66.68
130.0,0,0,66.68
131.0,0,0,66.68
132.0,0,0,66.68
133.0,0,0,66.68
134.0,0,0,66.68
135.0,0,0,66.68
136.0,0,0,66.68
137.0,0,0,66.68
138.0,0,0,66.68
139.0,0,0,66.68
140.0,0,0,66.68
141.0,0,0,66.68
142.0,0,0,66.68
143.0,0,0,66.68
144.0,0,0,66.68
145.0,0,0,66.68
146.0,2,0,63.37663474074079
147.0,2,0,64.42019449893519
148.0,3,0,62.2136649104823
149.0,4,0,60.0847234604796
150.0,4,0,61.05315828521593
151.0,7,0,56.708765029949895
152.0,7,0,56.33635438502544
153.0,7,0,51.90411544664023
154.0,7,0,53.332962850365966
155.0,6,1,54.99794178944338
156.0,7,1,55.063769187266395
157.0,6,1,55.2783438202885
158.0,5,1,55.32804330497113
159.0,4,1,58.18175878443523
160.0,3,2,57.75412299381904
161.0,3,2,56.61225288893523
162.0,3,2,55.48464730688118
163.0,3,2,54.36474276404457
164.0,3,3,54.2013116683961
165.0,3,3,54.19363439864405
166.0,3,3,54.182888075626416
167.0,3,3,54.17839193551399
168.0,3,3,54.1778938429236
169.0,3,3,54.17758186733635
170.0,3,3,54.17750000000001
171.0,3,3,54.17750000000001
172.0,3,3,54.17750000000001
173.0,1,1,61.12333333333334
174.0,1,0,61.834236118540275
175.0,1,0,62.28749687925582
176.0,1,0,62.04432577306173
177.0,2,0,61.1147867500933
178.0,2,0,62.59035815409497
179.0,2,0,64.01356402810543
180.0,2,0,65.14193789361249
181.0,2,0,66.02920651245212
182.0,1,0,65.6449193571668
183.0,0,0,66.68
184.0,0,0,66.68
185.0,0,0,66.68
186.0,0,0,66.68
187.0,0,0,66.68
188.0,0,0,66.68
189.0,1,0,66.15204356390316
190.0,1,0,66.26128897515159
191.0,2,0,62.51822351822661
192.0,3,0,58.85982718920931
193.0,3,0,59.64600234479942
194.0,3,0,59.185979562148646
195.0,3,0,59.32185038879657
196.0,2,0,63.793634696465155
197.0,2,0,64.00631197151114
198.0,2,0,62.73203999177585
199.0,2,0,59.46010204877261
200.0,2,0,58.52620815644063
201.0,2,0,58.86645296371944
202.0,2,1,59.31478347375247
203.0,3,1,58.23585381580661
204.0,4,1,57.60899925917584
205.0,4,1,59.15822449382476
206.0,4,1,58.18226112484708
207.0,3,1,58.004201101292914
208.0,3,1,58.99862631305825
209.0,4,1,57.898071726671816
210.0,3,1,58.41505421728772
211.0,3,1,59.391597391314015
212.0,3,1,59.60695927039271
213.0,2,1,59.93560362393767
214.0,2,1,60.656976466136534
215.0,2,1,60.990730686366916
216.0,1,1,61.12333333333334
217.0,1,1,61.12333333333334
218.0,1,1,61.12333333333334
219.0,1,1,61.12333333333334
220.0,1,1,61.12333333333334
221.0,1,1,61.12333333333334
222.0,1,1,61.12333333333334
223.0,1,1,61.12333333333334
224.0,1,1,61.12333333333334
225.0,1,1,61.12333333333334
226.0,0,0,66.68
227.0,0,0,66.68
228.0,0,0,66.68
229.0,0,0,66.68
230.0,1,0,64.27902291328026
231.0,1,0,65.13910001682584
232.0,2,0,64.72458308949771
