time,vehicles,queue,speed
1.0,0,0,66.68
2.0,0,0,66.68
3.0,0,0,66.68
4.0,0,0,66.68
5.0,0,0,66.68
6.0,0,0,66.68
7.0,0,0,66.68
8.0,0,0,66.68
9.0,0,0,66.68
10.0,0,0,66.68
11.0,0,0,66.68
12.0,0,0,66.68
13.0,0,0,66.68
14.0,0,0,66.68
15.0,0,0,66.68
16.0,0,0,66.68
17.0,0,0,66.68
18.0,0,0,66.68
19.0,0,0,66.68
20.0,0,0,66.68
21.0,0,0,66.68
22.0,0,0,66.68
23.0,0,0,66.68
24.0,0,0,66.68
25.0,0,0,66.68
26.0,0,0,66.68
27.0,0,0,66.68
28.0,0,0,66.68
29.0,0,0,66.68
30.0,0,0,66.68
31.0,0,0,66.68
32.0,0,0,66.68
33.0,0,0,66.68
34.0,0,0,66.68
35.0,0,0,66.68
36.0,0,0,66.68
37.0,0,0,66.68
38.0,1,0,65.70478199195205
39.0,1,0,65.25050097055356
40.0,1,0,65.62042576434179
41.0,1,0,65.1322012659497
42.0,1,0,65.69613437513908
43.0,1,0,63.97089580531389
44.0,0,0,66.68
45.0,0,0,66.68
46.0,0,0,66.68
47.0,1,0,64.10733599993132
48.0,1,0,64.88592684390532
49.0,1,0,65.53959230691858
50.0,1,0,65.63810747527887
51.0,1,0,65.69332845471548
52.0,1,0,65.79986716912963
53.0,1,0,65.54410130440604
54.0,1,0,65.6912041833007
55.0,1,0,66.04667354683272
56.0,1,0,65.88392058579132
57.0,1,0,64.41110841495274
58.0,1,0,62.161108414952736
59.0,1,0,59.911108414952736
60.0,0,0,66.68
61.0,0,0,66.68
62.0,0,0,66.68
63.0,0,0,66.68
64.0,0,0,66.68
65.0,0,0,66.68
66.0,0,0,66.68
67.0,0,0,66.68
68.0,0,0,66.68
69.0,0,0,66.68
70.0,0,0,66.68
71.0,0,0,66.68
72.0,0,0,66.68
73.0,0,0,66.68
74.0,0,0,66.68
75.0,0,0,66.68
76.0,0,0,66.68
77.0,0,0,66.68
78.0,0,0,66.68
79.0,0,0,66.68
80.0,0,0,66.68
81.0,0,0,66.68
82.0,0,0,66.68
83.0,1,0,66.70601146023763
84.0,1,0,66.69373492456239
85.0,1,0,66.88812588660245
86.0,1,0,66.81029243318407
87.0,1,0,66.85298083361437
88.0,0,0,66.68
89.0,0,0,66.68
90.0,0,0,66.68
91.0,0,0,66.68
92.0,0,0,66.68
93.0,0,0,66.68
94.0,0,0,66.68
95.0,0,0,66.68
96.0,0,0,66.68
97.0,0,0,66.68
98.0,0,0,66.68
99.0,0,0,66.68
100.0,0,0,66.68
101.0,0,0,66.68
102.0,0,0,66.68
103.0,0,0,66.68
104.0,0,0,66.68
105.0,0,0,66.68
106.0,0,0,66.68
107.0,0,0,66.68
108.0,0,0,66.68
109.0,0,0,66.68
110.0,0,0,66.68
111.0,0,0,66.68
112.0,0,0,66.68
113.0,0,0,66.68
114.0,1,0,66.33870373469614
115.0,1,0,66.29445405632794
116.0,1,0,66.54621209838731
117.0,1,0,66.40116013538861
118.0,1,0,64.58135215208486
119.0,1,0,62.66903045952377
120.0,1,0,60.41903045952377
121.0,0,0,66.68
122.0,0,0,66.68
123.0,0,0,66.68
124.0,0,0,66.68
125.0,0,0,66.68
126.0,0,0,66.68
127.0,0,0,66.68
128.0,0,0,66.68
129.0,1,0,64.40726850182115
130.0,1,0,65.0075385532294
131.0,1,0,65.62493957310902
132.0,1,0,66.24750652399676
133.0,1,0,66.45345826851609
134.0,1,0,66.12367475501821
135.0,0,0,66.68
136.0,0,0,66.68
137.0,0,0,66.68
138.0,0,0,66.68
139.0,0,0,66.68
140.0,0,0,66.68
141.0,0,0,66.68
142.0,0,0,66.68
143.0,0,0,66.68
144.0,0,0,66.68
145.0,0,0,66.68
146.0,1,0,67.33297025938971
147.0,1,0,67.38516929372821
148.0,1,0,67.60731561027609
149.0,1,0,66.90313864519055
150.0,1,0,65.54892733333334
151.0,1,0,65.82160530542191
152.0,2,0,61.4141597945805
153.0,2,0,62.54725618897347
154.0,2,0,63.482348068914064
155.0,3,0,60.428664104312425
156.0,4,0,59.714701817028406
157.0,5,0,57.894939853559976
158.0,4,0,58.08031948443612
159.0,5,0,57.152999819069485
160.0,5,1,58.669060052205154
161.0,7,1,55.21290150617568
162.0,7,1,54.5501429974552
163.0,7,1,51.290709899998916
164.0,7,1,51.43924377113886
165.0,6,1,53.36344614924674
166.0,6,2,54.45104759642622
167.0,5,2,55.729966871050635
168.0,4,2,56.35115589181477
169.0,3,2,58.31573676062453
170.0,2,2,58.34508040742638
171.0,2,2,58.345035533856766
172.0,2,2,58.345000000000006
173.0,2,2,55.56666666666667
174.0,2,1,56.12865779937711
175.0,2,1,56.598950706422336
176.0,2,1,56.2164480176084
177.0,2,1,55.815086255017604
178.0,2,2,55.5716910091788
179.0,2,2,55.56866694483718
180.0,2,2,55.56715267173769
181.0,2,2,55.56688211148714
182.0,2,2,55.56679927867621
183.0,0,0,66.68
184.0,0,0,66.68
185.0,0,0,66.68
186.0,0,0,66.68
187.0,1,0,64.46172673487416
188.0,1,0,65.0410540062717
189.0,1,0,65.7917130578092
190.0,3,0,62.13830528764755
191.0,3,0,62.40482635617802
192.0,3,0,63.31571999729923
193.0,3,0,59.92542589708707
194.0,3,0,60.13095373790566
195.0,3,0,59.34870920271167
196.0,2,0,62.341553582679786
197.0,2,0,61.83463825734725
198.0,1,0,64.8586651972267
199.0,1,0,63.84641474448601
200.0,1,0,61.59641474448601
201.0,1,0,59.34641474448601
202.0,1,0,60.01215354890321
203.0,0,0,66.68
204.0,0,0,66.68
205.0,0,0,66.68
206.0,0,0,66.68
207.0,0,0,66.68
208.0,0,0,66.68
209.0,0,0,66.68
210.0,0,0,66.68
211.0,0,0,66.68
212.0,0,0,66.68
213.0,0,0,66.68
214.0,1,0,63.132162777134226
215.0,1,0,63.722353411801166
216.0,3,0,59.193682930883675
217.0,3,0,61.335407699671066
218.0,4,0,61.875744444556446
219.0,4,0,64.11235682763709
220.0,4,0,65.64077207540875
221.0,3,0,63.021358549845054
222.0,3,0,63.963905183803206
223.0,2,0,64.49298713698161
224.0,3,0,63.15275936181602
225.0,2,0,63.22550406518127
226.0,2,0,64.61233783854061
227.0,2,0,65.32331215538863
228.0,2,0,64.6788685364149
229.0,2,0,65.77634613090767
230.0,1,0,66.13657264065658
231.0,1,0,66.26386846582135
232.0,1,0,66.05010604159868
233.0,1,0,66.95042237713639
234.0,1,0,66.69710960647495
