epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.5581,0.68283,1.5882,0.98401,1,0.85537,0.99266,0.87301,0.52363,2.47796,0.85178,0.00064,0.00064,0.00064
2,114.183,0.70264,1.16921,0.99683,0.81549,0.63139,0.78497,0.59007,0.76956,2.14432,1.02745,0.00127426,0.00127426,0.00127426
3,178.35,0.80975,1.17,1.0202,0.72377,0.77551,0.81036,0.60803,1.12333,2.26533,1.26147,0.00188238,0.00188238,0.00188238
4,243.643,0.86164,1.09293,1.07347,0.88499,0.81633,0.93852,0.74352,0.68875,1.32657,0.97805,0.0018812,0.0018812,0.0018812
5,304.211,0.76044,0.87944,1.0157,0.728,0.55102,0.64448,0.51171,0.79101,1.68022,1.08623,0.0018416,0.0018416,0.0018416
6,354.234,0.74633,0.78244,1.00765,0.97818,0.91506,0.97983,0.85852,0.52054,0.87581,0.89143,0.001802,0.001802,0.001802
7,403.316,0.76081,0.72884,1.01689,0.98965,0.9759,0.99276,0.85594,0.48327,0.67838,0.84858,0.0017624,0.0017624,0.0017624
8,454.339,0.71249,0.68698,0.98207,0.99518,0.97959,0.99422,0.88818,0.43027,0.62932,0.82156,0.0017228,0.0017228,0.0017228
9,503.727,0.6661,0.62808,0.97643,0.97799,1,0.98633,0.88603,0.38918,0.52875,0.82249,0.0016832,0.0016832,0.0016832
10,553.603,0.65981,0.6028,0.97853,0.9859,1,0.9949,0.90833,0.38612,0.59964,0.8134,0.0016436,0.0016436,0.0016436
11,603.381,0.63803,0.55474,0.95209,0.99131,0.9898,0.9949,0.91462,0.40469,0.48908,0.81968,0.001604,0.001604,0.001604
12,653.014,0.61526,0.5395,0.95844,0.96287,0.94898,0.9755,0.86768,0.41208,0.60645,0.84455,0.0015644,0.0015644,0.0015644
13,703.282,0.60009,0.506,0.9587,0.98873,1,0.9947,0.88954,0.44844,0.60507,0.84071,0.0015248,0.0015248,0.0015248
14,756.036,0.56235,0.49137,0.94049,0.99823,0.9898,0.99433,0.9289,0.3696,0.42247,0.82908,0.0014852,0.0014852,0.0014852
15,822.395,0.55885,0.46051,0.93822,0.99935,1,0.995,0.95106,0.32145,0.30107,0.79638,0.0014456,0.0014456,0.0014456
16,871.978,0.58688,0.46181,0.95562,0.99923,1,0.995,0.93202,0.33668,0.32395,0.80805,0.001406,0.001406,0.001406
17,921.791,0.58444,0.47249,0.9501,0.97592,1,0.983,0.89897,0.36774,0.41326,0.80265,0.0013664,0.0013664,0.0013664
18,971.867,0.55838,0.46382,0.95161,0.99722,1,0.995,0.92202,0.35894,0.32681,0.81733,0.0013268,0.0013268,0.0013268
19,1022.39,0.55906,0.46742,0.94264,0.99782,1,0.995,0.94145,0.33417,0.34814,0.79752,0.0012872,0.0012872,0.0012872
20,1072.6,0.53224,0.44154,0.93786,0.99853,1,0.995,0.95485,0.31383,0.32154,0.80129,0.0012476,0.0012476,0.0012476
21,1130.94,0.53439,0.43925,0.92664,0.99823,1,0.995,0.94453,0.29923,0.29869,0.80306,0.001208,0.001208,0.001208
22,1181.14,0.52657,0.41563,0.92974,0.99884,1,0.995,0.96461,0.28917,0.29996,0.78611,0.0011684,0.0011684,0.0011684
23,1233.52,0.51157,0.42779,0.93573,0.99901,1,0.995,0.96193,0.28798,0.32068,0.79429,0.0011288,0.0011288,0.0011288
24,1282.83,0.51007,0.41952,0.93167,0.99772,1,0.995,0.94733,0.28888,0.39581,0.78993,0.0010892,0.0010892,0.0010892
25,1333.47,0.48293,0.39859,0.91532,0.99831,1,0.995,0.95869,0.26683,0.24329,0.78158,0.0010496,0.0010496,0.0010496
26,1413.79,0.48769,0.38357,0.92592,0.9984,1,0.995,0.9704,0.25054,0.24393,0.77963,0.00101,0.00101,0.00101
27,1494.85,0.46899,0.39103,0.91484,0.99884,1,0.995,0.96511,0.229,0.24525,0.77806,0.0009704,0.0009704,0.0009704
28,1543.43,0.47075,0.378,0.91466,0.98839,1,0.9949,0.96539,0.26742,0.25061,0.78764,0.0009308,0.0009308,0.0009308
29,1592.96,0.48613,0.38031,0.91912,0.98907,1,0.995,0.96199,0.25769,0.24274,0.77957,0.0008912,0.0008912,0.0008912
30,1642.53,0.44902,0.35802,0.91576,0.99484,1,0.995,0.97317,0.25945,0.2296,0.78634,0.0008516,0.0008516,0.0008516
31,1692.06,0.46319,0.37001,0.93237,0.99779,1,0.995,0.97722,0.22531,0.21735,0.77254,0.000812,0.000812,0.000812
32,1741.48,0.43372,0.35078,0.89563,0.99479,1,0.995,0.97476,0.23581,0.23821,0.77663,0.0007724,0.0007724,0.0007724
33,1790.63,0.46317,0.37031,0.92225,0.99833,1,0.995,0.96238,0.27597,0.26444,0.78557,0.0007328,0.0007328,0.0007328
34,1840.86,0.42975,0.35236,0.89791,0.99908,1,0.995,0.97952,0.2113,0.20282,0.77297,0.0006932,0.0006932,0.0006932
35,1890.83,0.43783,0.34522,0.91708,0.9994,1,0.995,0.98274,0.2133,0.19302,0.77384,0.0006536,0.0006536,0.0006536
36,1940.48,0.40087,0.32525,0.89643,0.9994,1,0.995,0.97127,0.21464,0.18671,0.76971,0.000614,0.000614,0.000614
37,1989.92,0.41325,0.32663,0.8967,0.99939,1,0.995,0.97848,0.20935,0.19229,0.77048,0.0005744,0.0005744,0.0005744
38,2039.92,0.39836,0.31718,0.88363,0.99931,1,0.995,0.97764,0.21136,0.17326,0.77288,0.0005348,0.0005348,0.0005348
39,2089.72,0.38697,0.32789,0.89614,0.99913,1,0.995,0.98014,0.2025,0.1951,0.77072,0.0004952,0.0004952,0.0004952
40,2140.38,0.37995,0.31428,0.90271,0.9974,1,0.995,0.98366,0.18081,0.17253,0.76579,0.0004556,0.0004556,0.0004556
41,2189.15,0.23846,0.21905,0.79831,0.997,1,0.995,0.98406,0.1872,0.19386,0.76759,0.000416,0.000416,0.000416
42,2237.38,0.22914,0.2155,0.79087,0.99819,1,0.995,0.98709,0.17437,0.18183,0.76483,0.0003764,0.0003764,0.0003764
43,2285.78,0.2206,0.20678,0.7914,0.99807,1,0.995,0.98977,0.16967,0.16582,0.76192,0.0003368,0.0003368,0.0003368
44,2334.2,0.21988,0.20769,0.79289,0.99782,1,0.995,0.98689,0.17662,0.15907,0.76442,0.0002972,0.0002972,0.0002972
45,2382.6,0.21262,0.19884,0.79485,0.99895,1,0.995,0.98851,0.17369,0.15428,0.7607,0.0002576,0.0002576,0.0002576
46,2431.68,0.21582,0.19777,0.78895,0.99934,1,0.995,0.98967,0.17403,0.15092,0.7606,0.000218,0.000218,0.000218
47,2480.56,0.19779,0.18715,0.77374,0.99939,1,0.995,0.99122,0.16162,0.1451,0.75968,0.0001784,0.0001784,0.0001784
48,2563.72,0.19184,0.18706,0.79411,0.99942,1,0.995,0.99226,0.16038,0.14386,0.75937,0.0001388,0.0001388,0.0001388
49,2617.84,0.18983,0.17759,0.78864,0.99938,1,0.995,0.99206,0.1491,0.14434,0.75818,9.92e-05,9.92e-05,9.92e-05
50,2667.85,0.17834,0.17194,0.78834,0.99939,1,0.995,0.99209,0.14412,0.13313,0.75778,5.96e-05,5.96e-05,5.96e-05
