timestamp,total_vehicles,lane_left,lane_center,lane_right,vehicles_details
2026-04-14 14:15:14,0,0,0,0,
2026-04-14 14:15:14,0,0,0,0,
2026-04-14 14:15:15,2,1,0,1,ID_1(bus)->right; ID_2(car)->left
2026-04-14 14:15:15,2,1,0,1,ID_1(bus)->right; ID_2(car)->left
2026-04-14 14:15:15,2,1,0,1,ID_1(bus)->right; ID_2(car)->left
2026-04-14 14:15:15,2,1,0,1,ID_1(bus)->right; ID_2(car)->left
2026-04-14 14:15:16,3,1,1,1,ID_1(bus)->right; ID_2(car)->left; ID_4(car)->center
2026-04-14 14:15:16,3,1,1,1,ID_1(bus)->right; ID_2(car)->left; ID_4(car)->center
2026-04-14 14:15:16,3,1,1,1,ID_1(bus)->right; ID_2(car)->left; ID_4(car)->center
2026-04-14 14:15:17,3,2,0,1,ID_1(bus)->right; ID_2(car)->left; ID_4(car)->left
2026-04-14 14:15:17,4,2,1,1,ID_1(bus)->right; ID_2(car)->left; ID_4(car)->left; ID_6(car)->center
2026-04-14 14:15:18,4,2,1,1,ID_1(bus)->right; ID_2(car)->left; ID_4(car)->left; ID_6(car)->center
2026-04-14 14:15:18,4,2,1,1,ID_1(bus)->right; ID_2(car)->left; ID_4(car)->left; ID_6(car)->center
2026-04-14 14:15:19,4,2,1,1,ID_1(bus)->right; ID_2(car)->left; ID_4(car)->left; ID_6(car)->center
2026-04-14 14:15:19,4,2,1,1,ID_1(bus)->right; ID_2(car)->left; ID_4(car)->left; ID_6(car)->center
2026-04-14 14:15:20,5,3,1,1,ID_1(bus)->right; ID_2(car)->left; ID_4(car)->left; ID_6(car)->center; ID_7(truck)->left
2026-04-14 14:15:20,5,3,1,1,ID_1(bus)->right; ID_2(car)->left; ID_4(car)->left; ID_6(car)->center; ID_7(truck)->left
2026-04-14 14:15:21,5,3,1,1,ID_1(car)->right; ID_2(car)->left; ID_4(car)->left; ID_6(car)->center; ID_7(truck)->left
2026-04-14 14:15:22,5,3,1,1,ID_1(car)->right; ID_2(car)->left; ID_4(car)->left; ID_6(car)->center; ID_7(truck)->left
2026-04-14 14:15:23,5,3,1,1,ID_1(bus)->right; ID_2(car)->left; ID_4(car)->left; ID_6(car)->center; ID_7(truck)->left
2026-04-14 14:15:23,5,3,1,1,ID_1(bus)->right; ID_2(car)->left; ID_4(car)->left; ID_6(car)->center; ID_7(truck)->left
2026-04-14 14:15:24,5,3,1,1,ID_1(bus)->right; ID_2(car)->left; ID_4(car)->left; ID_6(car)->center; ID_7(truck)->left
2026-04-14 14:15:24,5,4,0,1,ID_1(bus)->right; ID_2(car)->left; ID_4(car)->left; ID_6(car)->left; ID_7(truck)->left
2026-04-14 14:15:25,5,4,0,1,ID_1(car)->right; ID_2(car)->left; ID_4(car)->left; ID_6(car)->left; ID_7(truck)->left
2026-04-14 14:15:26,5,4,0,1,ID_1(car)->right; ID_2(car)->left; ID_4(car)->left; ID_6(car)->left; ID_7(truck)->left
