timestamp,total_vehicles,lane_left,lane_center,lane_right
2026-04-15 20:22:57,2,1,1,0
2026-04-15 20:22:58,2,1,1,0
2026-04-15 20:22:58,2,1,1,0
2026-04-15 20:22:58,2,1,1,0
2026-04-15 20:22:59,2,1,1,0
2026-04-15 20:22:59,2,1,1,0
2026-04-15 20:22:59,2,1,1,0
2026-04-15 20:23:00,2,1,1,0
2026-04-15 20:23:00,2,1,1,0
2026-04-15 20:23:00,2,1,1,0
2026-04-15 20:23:01,2,1,1,0
2026-04-15 20:23:01,2,1,1,0
2026-04-15 20:23:02,2,1,1,0
2026-04-15 20:23:03,2,1,1,0
2026-04-15 20:23:03,2,1,1,0
2026-04-15 20:23:04,2,1,1,0
2026-04-15 20:23:04,2,1,1,0
2026-04-15 20:23:05,2,1,1,0
2026-04-15 20:23:05,2,1,1,0
2026-04-15 20:23:06,2,1,1,0
2026-04-15 20:23:06,2,1,1,0
2026-04-15 20:23:06,2,1,1,0
2026-04-15 20:23:07,2,1,1,0
2026-04-15 20:23:07,2,1,1,0
2026-04-15 20:23:08,1,1,0,0
2026-04-15 20:23:08,1,1,0,0
2026-04-15 20:23:08,1,1,0,0
2026-04-15 20:23:09,1,1,0,0
2026-04-15 20:23:09,2,1,1,0
2026-04-15 20:23:09,2,1,1,0
2026-04-15 20:23:10,2,1,1,0
2026-04-15 20:23:10,2,1,1,0
2026-04-15 20:23:11,2,1,1,0
2026-04-15 20:23:11,2,1,1,0
2026-04-15 20:23:11,2,1,1,0
2026-04-15 20:23:12,2,1,1,0
2026-04-15 20:23:12,2,1,1,0
2026-04-15 20:23:12,2,1,1,0
2026-04-15 20:23:13,2,1,1,0
2026-04-15 20:23:13,1,1,0,0
2026-04-15 20:23:14,2,1,1,0
2026-04-15 20:23:14,2,1,1,0
2026-04-15 20:23:14,2,1,1,0
2026-04-15 20:23:15,2,1,1,0
2026-04-15 20:23:15,2,1,1,0
2026-04-15 20:23:15,2,1,1,0
2026-04-15 20:23:16,2,1,1,0
2026-04-15 20:23:16,2,1,1,0
2026-04-15 20:23:16,2,1,1,0
2026-04-15 20:23:17,2,1,1,0
2026-04-15 20:23:17,2,1,1,0
2026-04-15 20:23:18,2,1,1,0
2026-04-15 20:23:18,2,1,1,0
2026-04-15 20:23:18,2,1,1,0
2026-04-15 20:23:19,2,1,1,0
2026-04-15 20:23:19,2,1,1,0
2026-04-15 20:23:20,2,1,1,0
2026-04-15 20:23:20,2,1,1,0
2026-04-15 20:23:20,2,1,1,0
2026-04-15 20:23:21,2,1,1,0
2026-04-15 20:23:21,2,1,1,0
2026-04-15 20:23:21,2,1,1,0
2026-04-15 20:23:22,2,1,1,0
2026-04-15 20:23:22,2,1,1,0
2026-04-15 20:23:23,2,1,1,0
2026-04-15 20:23:23,2,1,1,0
2026-04-15 20:23:23,2,1,1,0
2026-04-15 20:23:24,2,1,1,0
2026-04-15 20:23:24,2,1,1,0
2026-04-15 20:23:24,2,1,1,0
2026-04-15 20:23:25,2,1,1,0
2026-04-15 20:23:25,2,1,1,0
2026-04-15 20:23:25,2,1,1,0
2026-04-15 20:23:26,2,1,1,0
2026-04-15 20:23:26,2,1,1,0
2026-04-15 20:23:27,2,1,1,0
2026-04-15 20:23:27,2,1,1,0
2026-04-15 20:23:27,2,1,1,0
2026-04-15 20:23:28,2,1,1,0
2026-04-15 20:23:28,2,1,1,0
2026-04-15 20:23:28,2,1,1,0
2026-04-15 20:23:29,2,1,1,0
2026-04-15 20:23:29,2,1,1,0
2026-04-15 20:23:30,2,1,1,0
2026-04-15 20:23:30,2,1,1,0
2026-04-15 20:23:30,2,1,1,0
2026-04-15 20:23:31,2,1,1,0
2026-04-15 20:23:31,2,1,1,0
2026-04-15 20:23:32,2,1,1,0
2026-04-15 20:23:32,2,1,1,0
2026-04-15 20:23:32,2,1,1,0
2026-04-15 20:23:33,2,1,1,0
2026-04-15 20:23:33,2,1,1,0
2026-04-15 20:23:33,2,1,1,0
2026-04-15 20:23:34,2,1,1,0
2026-04-15 20:23:34,2,1,1,0
2026-04-15 20:23:35,2,1,1,0
2026-04-15 20:23:35,2,1,1,0
2026-04-15 20:23:35,2,1,1,0
2026-04-15 20:23:36,2,1,1,0
2026-04-15 20:23:36,2,1,1,0
2026-04-15 20:23:36,2,1,1,0
2026-04-15 20:23:37,2,1,1,0
2026-04-15 20:23:37,2,1,1,0
2026-04-15 20:23:38,2,1,1,0
2026-04-15 20:23:38,2,1,1,0
2026-04-15 20:23:38,2,1,1,0
2026-04-15 20:23:39,2,1,1,0
2026-04-15 20:23:39,2,1,1,0
2026-04-15 20:23:39,2,1,1,0
2026-04-15 20:23:40,2,1,1,0
2026-04-15 20:23:40,2,1,1,0
2026-04-15 20:23:41,2,1,1,0
2026-04-15 20:23:41,2,1,1,0
2026-04-15 20:23:41,2,1,1,0
2026-04-15 20:23:42,2,1,1,0
