timestamp,total_vehicles,lane_left,lane_center,lane_right
2026-04-14 15:10:51,2,1,1,0
2026-04-14 15:10:52,2,1,1,0
2026-04-14 15:10:52,2,1,1,0
2026-04-14 15:10:52,2,1,1,0
2026-04-14 15:10:52,2,1,1,0
2026-04-14 15:10:52,2,1,1,0
2026-04-14 15:10:53,2,1,1,0
2026-04-14 15:10:53,2,1,1,0
2026-04-14 15:10:53,2,1,1,0
2026-04-14 15:10:53,2,1,1,0
2026-04-14 15:10:53,2,1,1,0
2026-04-14 15:10:53,2,1,1,0
2026-04-14 15:10:54,2,1,1,0
2026-04-14 15:10:54,2,1,1,0
2026-04-14 15:10:54,2,1,1,0
2026-04-14 15:10:54,2,1,1,0
2026-04-14 15:10:54,2,1,1,0
2026-04-14 15:10:54,2,1,1,0
2026-04-14 15:10:55,2,1,1,0
2026-04-14 15:10:55,2,1,1,0
2026-04-14 15:10:55,2,1,1,0
2026-04-14 15:10:55,2,1,1,0
2026-04-14 15:10:55,2,1,1,0
2026-04-14 15:10:56,2,1,1,0
2026-04-14 15:10:56,1,1,0,0
2026-04-14 15:10:56,1,1,0,0
2026-04-14 15:10:56,1,1,0,0
2026-04-14 15:10:56,1,1,0,0
2026-04-14 15:10:56,2,1,1,0
2026-04-14 15:10:57,2,1,1,0
2026-04-14 15:10:57,2,1,1,0
2026-04-14 15:10:57,2,1,1,0
2026-04-14 15:10:57,2,1,1,0
2026-04-14 15:10:57,2,1,1,0
2026-04-14 15:10:58,2,1,1,0
2026-04-14 15:10:58,2,1,1,0
2026-04-14 15:10:58,2,1,1,0
2026-04-14 15:10:58,2,1,1,0
2026-04-14 15:10:58,2,1,1,0
2026-04-14 15:10:58,1,1,0,0
2026-04-14 15:10:59,2,1,1,0
2026-04-14 15:10:59,2,1,1,0
2026-04-14 15:10:59,2,1,1,0
2026-04-14 15:10:59,2,1,1,0
2026-04-14 15:10:59,2,1,1,0
2026-04-14 15:10:59,2,1,1,0
2026-04-14 15:11:00,2,1,1,0
2026-04-14 15:11:00,2,1,1,0
2026-04-14 15:11:00,2,1,1,0
2026-04-14 15:11:00,2,1,1,0
2026-04-14 15:11:01,2,1,1,0
2026-04-14 15:11:01,2,1,1,0
2026-04-14 15:11:01,2,1,1,0
2026-04-14 15:11:01,2,1,1,0
2026-04-14 15:11:01,2,1,1,0
2026-04-14 15:11:02,2,1,1,0
2026-04-14 15:11:02,2,1,1,0
2026-04-14 15:11:02,2,1,1,0
2026-04-14 15:11:02,2,1,1,0
2026-04-14 15:11:03,2,1,1,0
2026-04-14 15:11:03,2,1,1,0
2026-04-14 15:11:03,2,1,1,0
2026-04-14 15:11:03,2,1,1,0
2026-04-14 15:11:03,2,1,1,0
2026-04-14 15:11:04,2,1,1,0
2026-04-14 15:11:04,2,1,1,0
2026-04-14 15:11:04,2,1,1,0
2026-04-14 15:11:04,2,1,1,0
2026-04-14 15:11:04,2,1,1,0
2026-04-14 15:11:05,2,1,1,0
2026-04-14 15:11:05,2,1,1,0
2026-04-14 15:11:05,2,1,1,0
2026-04-14 15:11:05,2,1,1,0
2026-04-14 15:11:06,2,1,1,0
2026-04-14 15:11:06,2,1,1,0
2026-04-14 15:11:06,2,1,1,0
2026-04-14 15:11:06,2,1,1,0
2026-04-14 15:11:06,2,1,1,0
2026-04-14 15:11:07,2,1,1,0
2026-04-14 15:11:07,2,1,1,0
2026-04-14 15:11:07,2,1,1,0
2026-04-14 15:11:07,2,1,1,0
2026-04-14 15:11:08,2,1,1,0
2026-04-14 15:11:08,2,1,1,0
2026-04-14 15:11:08,2,1,1,0
2026-04-14 15:11:08,2,1,1,0
2026-04-14 15:11:08,2,1,1,0
2026-04-14 15:11:09,2,1,1,0
2026-04-14 15:11:09,2,1,1,0
2026-04-14 15:11:09,2,1,1,0
2026-04-14 15:11:09,2,1,1,0
2026-04-14 15:11:09,2,1,1,0
2026-04-14 15:11:10,2,1,1,0
2026-04-14 15:11:10,2,1,1,0
2026-04-14 15:11:10,2,1,1,0
2026-04-14 15:11:10,2,1,1,0
2026-04-14 15:11:11,2,1,1,0
2026-04-14 15:11:11,2,1,1,0
2026-04-14 15:11:11,2,1,1,0
2026-04-14 15:11:11,2,1,1,0
2026-04-14 15:11:11,2,1,1,0
2026-04-14 15:11:12,2,1,1,0
2026-04-14 15:11:12,2,1,1,0
2026-04-14 15:11:12,2,1,1,0
2026-04-14 15:11:12,2,1,1,0
