step,reward,loss,epsilon
1,-0.0,0,1.0
2,-0.0,0,1.0
3,-0.0,0,1.0
4,-0.0,0,1.0
5,-0.0,0,1.0
6,-0.0,0,1.0
7,-0.0,0,1.0
8,-0.0,0,1.0
9,-0.0,0,1.0
10,-0.0,0,1.0
11,-0.0,0,1.0
12,-0.0,0,1.0
13,-0.0,0,1.0
14,-0.0,0,1.0
15,-0.0,0,1.0
16,-0.0,0,1.0
17,-0.0,0,1.0
18,-1.0,0,1.0
19,-0.0,0,1.0
20,-0.0,0,1.0
21,-0.0,0,1.0
22,-0.0,0,1.0
23,-0.0,0,1.0
24,-0.0,0,1.0
25,-0.0,0,1.0
26,-0.0,0,1.0
27,-0.0,0,1.0
28,-0.0,0,1.0
29,-0.0,0,1.0
30,-0.0,0,1.0
31,-0.0,0,1.0
32,-0.0,0.019134496904910092,0.995
33,-0.0,0.015821793942990325,0.990025
34,-0.0,0.014423160558803438,0.985074875
35,-0.0,0.014508485921814356,0.9801495006250001
36,-0.0,0.013930577452878623,0.9752487531218751
37,-0.0,0.014237756673765034,0.9703725093562657
38,-0.0,0.014442564159085514,0.9655206468094844
39,-0.0,0.013231267967803731,0.960693043575437
40,-0.0,0.001239459686538602,0.9558895783575597
41,-0.0,0.00037666412581582875,0.9511101304657719
42,-0.0,0.013212067489376741,0.946354579813443
43,-0.0,0.014107671848010137,0.9416228069143757
44,-0.0,0.014493802460670502,0.9369146928798039
45,-0.0,0.014599113510051609,0.9322301194154049
46,-0.0,0.013721282606884877,0.9275689688183278
47,-0.0,0.014498151146149496,0.9229311239742362
48,-0.0,0.013829328472103164,0.918316468354365
49,-0.0,0.014150009886214399,0.9137248860125932
50,-0.0,0.0010759526027960863,0.9091562615825302
51,-0.0,0.013442618525676409,0.9046104802746175
52,-0.0,0.013772847462190763,0.9000874278732445
53,-0.0,0.013964387495485318,0.8955869907338783
54,-0.0,0.014351711179187765,0.8911090557802088
55,-0.0,0.0015528313481065672,0.8866535105013078
56,-0.0,0.0005350467821563232,0.8822202429488013
57,-0.0,0.0003882066459765989,0.8778091417340573
58,-0.0,0.00019679372654145266,0.8734200960253871
59,-0.0,0.013633526858461267,0.8690529955452602
60,-0.0,0.00037344758013158064,0.8647077305675338
61,-0.0,0.00013919350594049362,0.8603841919146962
62,-0.0,0.00010675107818683416,0.8560822709551227
63,-0.0,0.014382809360651477,0.851801859600347
64,-0.0,0.01434560997933498,0.8475428503023453
65,-0.0,0.0004325980265224537,0.8433051360508336
66,-0.0,0.013897010882283664,0.8390886103705794
67,-0.0,0.0003683887510242123,0.8348931673187264
68,-0.0,0.0006884900973390673,0.8307187014821328
69,-0.0,0.013947951569664774,0.8265651079747222
70,-0.0,0.000522717235737602,0.8224322824348486
71,-0.0,0.0004330800180645106,0.8183201210226743
72,-0.0,0.014120961349280314,0.8142285204175609
73,-0.0,0.014261795662478927,0.810157377815473
74,-0.0,0.014085722540137624,0.8061065909263957
75,-0.0,0.0005205257013343734,0.8020760579717637
76,-1.0,0.00038100951201732597,0.798065677681905
77,-0.0,0.00018947557152207417,0.7940753492934954
78,-0.0,0.030473931341061813,0.7901049725470279
79,-0.0,0.0013466639680891485,0.7861544476842928
80,-0.0,0.015489410541334236,0.7822236754458713
81,-0.0,0.02863947121774002,0.778312557068642
82,-0.0,0.015815343632801012,0.7744209942832988
83,-0.0,0.014374948341146068,0.7705488893118823
84,-0.0,0.014662410122937694,0.7666961448653229
85,-0.0,0.028786603193993468,0.7628626641409962
86,-0.0,0.0015667155280978257,0.7590483508202912
87,-0.0,0.014832641161452605,0.7552531090661897
88,-0.0,0.00045962270721056075,0.7514768435208588
89,-0.0,0.028738608094232468,0.7477194593032545
90,-0.0,0.014999010454883305,0.7439808620067382
91,-0.0,0.014951974827149573,0.7402609576967045
92,-0.0,0.0152543480919205,0.736559652908221
93,-0.0,0.0005699330582246143,0.7328768546436799
94,-0.0,0.013866433093707692,0.7292124703704616
95,-0.0,0.014117946049205604,0.7255664080186093
96,-0.0,0.015397830486790838,0.7219385759785162
97,-0.0,0.015218956092568202,0.7183288830986236
98,-0.0,0.014471997796066116,0.7147372386831305
99,-0.0,0.015212830926095933,0.7111635524897149
100,-0.0,0.0008065952266583798,0.7076077347272662
101,-0.0,0.015415165152910415,0.7040696960536299
102,-0.0,0.015018964389270771,0.7005493475733617
103,-0.0,0.014604583585972719,0.697046600835495
104,-0.0,0.01503908556863843,0.6935613678313175
105,-0.0,0.0006053866497065788,0.6900935609921609
106,-0.0,0.01507876179672973,0.6866430931872001
107,-0.0,0.028715323903884538,0.6832098777212641
108,-0.0,0.014240736209251995,0.6797938283326578
109,-0.0,0.0009204065459798641,0.6763948591909945
110,-0.0,0.014758510342270603,0.6730128848950395
111,-0.0,0.028631531255684226,0.6696478204705644
112,-0.0,0.0010851470578046168,0.6662995813682115
113,-0.0,0.0005450503740735968,0.6629680834613705
114,-0.0,0.01468584706806348,0.6596532430440636
115,-0.0,0.0151064347086165,0.6563549768288433
116,-0.0,0.0007127386410156662,0.653073201944699
117,-0.0,0.00018827910840060746,0.6498078359349755
118,-0.0,9.134253097051702e-05,0.6465587967553006
119,-0.0,0.014788822642644523,0.6433260027715241
120,-0.0,0.00015963914307872123,0.6401093727576664
121,-0.0,4.68139683973412e-05,0.6369088258938781
122,-0.0,2.310069839296311e-05,0.6337242817644086
123,-0.0,1.960560137265194e-05,0.6305556603555866
124,-0.0,0.014687407044157346,0.6274028820538087
125,-0.0,7.879132583895713e-05,0.6242658676435396
126,-0.0,0.014682513333632113,0.6211445383053219
127,-0.0,0.0001594629462075519,0.6180388156137953
128,-0.0,0.015486545910909201,0.6149486215357263
129,-0.0,0.014821480714676732,0.6118738784280476
130,-0.0,0.014690403448540402,0.6088145090359074
131,-0.0,0.0006075315730910275,0.6057704364907278
132,-0.0,0.00037198244695139243,0.6027415843082742
133,-0.0,0.014337221044902673,0.5997278763867329
134,-0.0,0.029163628976762328,0.5967292370047992
135,-0.0,0.0012163984294901553,0.5937455908197752
136,-0.0,0.0005333789592862903,0.5907768628656763
137,-0.0,3.777832064708053e-05,0.5878229785513479
138,-0.0,8.951763776390148e-05,0.5848838636585911
139,-0.0,0.030680125269390027,0.5819594443402982
140,-0.0,0.028130237056631452,0.5790496471185967
141,-0.0,0.0010929275101208428,0.5761543988830038
142,-0.0,0.015013775419344547,0.5732736268885887
143,-0.0,0.0006660495787586988,0.5704072587541458
144,-0.0,0.014592206324352137,0.567555222460375
145,-0.0,0.0008707872193849166,0.5647174463480732
146,-0.0,0.0003439765674712464,0.5618938591163328
147,-0.0,1.4097081736143269e-05,0.5590843898207511
148,-0.0,2.7225156830693042e-06,0.5562889678716474
149,-0.0,9.249876845463662e-07,0.5535075230322891
150,-0.0,3.614627588771624e-07,0.5507399854171277
151,-0.0,1.1668168356515629e-07,0.547986285490042
152,-0.0,0.015353417551398102,0.5452463540625918
153,-0.0,0.00021982953641408454,0.5425201222922789
154,-0.0,0.015802127850319647,0.5398075216808175
155,-0.0,0.00016062698711493545,0.5371084840724134
156,-0.0,0.00013307257646197953,0.5344229416520513
157,-0.0,9.578811460260113e-06,0.531750826943791
158,-0.0,2.54875832818832e-05,0.5290920728090721
159,-0.0,2.4689214395176465e-05,0.5264466124450268
160,-0.0,0.015791679810599594,0.5238143793828016
161,-0.0,0.00014962837833498727,0.5211953074858876
162,-0.0,7.135934050501465e-05,0.5185893309484582
163,-0.0,0.015346033265967403,0.5159963842937159
164,-0.0,0.0003564911304885718,0.5134164023722473
165,-0.0,0.015457305522301587,0.510849320360386
166,-0.0,0.015169631468020355,0.5082950737585841
167,-0.0,0.014523641974050195,0.5057535983897912
168,-0.0,0.028932670092156814,0.5032248303978422
169,-0.0,0.001835701397081042,0.500708706245853
170,-0.0,0.0005543331196408384,0.4982051627146237
171,-0.0,8.890269300090847e-05,0.49571413690105054
172,-0.0,0.0001301120019056093,0.4932355662165453
173,-0.0,3.5833679308728064e-05,0.4907693883854626
174,-0.0,9.221669465287956e-06,0.4883155414435353
175,-0.0,8.692725098621151e-06,0.4858739637363176
176,-0.0,2.4943400984137748e-05,0.483444593917636
177,-0.0,0.030417497957549392,0.4810273709480478
178,-0.0,0.028679686822512134,0.47862223409330756
179,-0.0,0.0008726396363060163,0.47622912292284103
180,-0.0,0.0005628790711719115,0.4738479773082268
181,-0.0,0.0003274607773539876,0.47147873742168567
182,-0.0,9.53824491398414e-05,0.46912134373457726
183,-0.0,5.377183756065905e-05,0.46677573701590436
184,-0.0,0.015488252328617795,0.46444185833082485
185,-0.0,0.000311058711714593,0.46211964903917074
186,-0.0,0.015089013853859318,0.4598090507939749
187,-0.0,0.00036051919452215143,0.457510005540005
188,-0.0,0.015228269599139562,0.45522245551230495
189,-0.0,0.014616854621375866,0.4529463432347434
190,-0.0,0.0003976305820521897,0.4506816115185697
191,-0.0,0.027877452636334253,0.4484282034609769
192,-0.0,0.002187136771057907,0.446186062443672
193,-0.0,0.015292098386505137,0.4439551321314536
194,-0.0,0.028792447532770604,0.4417353564707963
195,-0.0,0.0007790981381996607,0.43952667968844233
196,-1.0,0.015004779277287921,0.43732904629000013
197,-0.0,0.0007676739120280023,0.4351424010585501
198,-0.0,0.00011127784359904175,0.43296668905325736
199,-0.0,8.477914464348292e-05,0.43080185560799106
200,-0.0,3.496894164287284e-05,0.4286478463299511
201,-0.0,0.015364727438240256,0.42650460709830135
202,-0.0,0.014982464409196223,0.42437208406280985
203,-0.0,0.016103724028663627,0.4222502236424958
204,-0.0,0.015640345802978572,0.42013897252428334
205,-0.0,0.01506947396962044,0.4180382776616619
206,-0.0,0.0002778125942759502,0.4159480862733536
207,-0.0,0.014431178919874554,0.41386834584198684
208,-0.0,0.0007838071281774939,0.4117990041127769
209,-0.0,0.014698491143525977,0.40974000909221303
210,-0.0,0.0004408660219690219,0.40769130904675194
211,-0.0,0.015072513121884512,0.40565285250151817
212,-0.0,0.014705718429213865,0.4036245882390106
213,-0.0,6.318320588838411e-05,0.4016064652978155
214,-0.0,2.9432858240641124e-05,0.3995984329713264
215,-0.0,1.492206111954747e-05,0.3976004408064698
216,-0.0,0.015052410278141637,0.39561243860243744
217,-0.0,0.014695956097883878,0.3936343764094253
218,-0.0,0.030421741569229388,0.39166620452737816
219,-0.0,0.0001575589268751898,0.3897078735047413
220,-0.0,5.943289099352711e-05,0.3877593341372176
221,-0.0,0.015403544966773097,0.3858205374665315
222,-0.0,0.015857473111486442,0.38389143477919885
223,-0.0,0.0001520781984842845,0.3819719776053028
224,-0.0,4.98092913672199e-05,0.3800621177172763
225,-0.0,3.306406539493878e-05,0.37816180712868996
226,-0.0,6.787187491852364e-05,0.37627099809304654
227,-0.0,0.00018726560463466768,0.3743896431025813
228,-0.0,0.00011531962668226425,0.37251769488706843
229,-1.0,5.133883552114354e-05,0.3706551064126331
230,-0.0,0.0466571218619077,0.36880183088056995
231,-0.0,0.030942509725477407,0.3669578217261671
232,-0.0,0.016319271080803333,0.36512303261753626
233,-0.0,0.016075252524221206,0.3632974174544486
234,-0.0,0.0020910326943318703,0.3614809303671764
235,-0.0,0.0008820750977633907,0.3596735257153405
236,-0.0,0.01673710405425055,0.3578751580867638
237,-0.0,3.9317444186837136e-05,0.35608578229633
238,-0.0,0.014869345010336765,0.3543053533848483
239,-0.0,0.014732888145573497,0.35253382661792404
240,-0.0,0.0005593877937570824,0.3507711574848344
241,-0.0,0.02968525413582057,0.34901730169741024
242,-0.0,0.00038331913989197997,0.3472722151889232
243,-0.0,0.01590026484878393,0.3455358541129786
244,-0.0,0.00043805401297380975,0.3438081748424137
245,-0.0,0.01587167234196324,0.3420891339682016
246,-0.0,0.014436260857777938,0.3403786882983606
247,-0.0,0.014058719986708823,0.3386767948568688
248,-0.0,0.0003950333439344256,0.33698341088258443
249,-0.0,9.75409386398951e-05,0.3352984938281715
250,-0.0,5.357826972840485e-05,0.33362200135903064
251,-0.0,3.243359706106563e-05,0.33195389135223546
252,-0.0,0.03016464428768284,0.3302941218954743
253,-0.0,0.015013257817720449,0.32864265128599696
254,-0.0,0.0010722690536821046,0.326999438029567
255,-0.0,0.015668497449033758,0.3253644408394192
256,-1.0,0.01548513547582786,0.3237376186352221
257,-0.0,0.028191234898805817,0.322118930542046
258,-0.0,0.013782789697801334,0.32050833588933575
259,-1.0,0.0007086166966507879,0.31890579420988907
260,-0.0,0.013298942300281169,0.3173112652388396
261,-0.0,0.0008280421764723656,0.3157247089126454
262,-0.0,0.015200751468825047,0.3141460853680822
263,-0.0,0.015201062129996501,0.3125753549412418
264,-0.0,0.01559288528488878,0.31101247816653554
265,-0.0,0.028549657373401927,0.30945741577570285
266,-0.0,0.015174461629351654,0.3079101286968243
267,-0.0,0.028344059300621893,0.3063705780533402
268,-0.0,0.00102621133287073,0.30483872516307353
269,-0.0,0.013860804198490229,0.3033145315372582
270,-0.0,0.000483399165574383,0.3017979588795719
271,-0.0,0.00038648685421449613,0.30028896908517405
272,-0.0,0.0270104398675991,0.2987875242397482
273,-0.0,0.015164967182554334,0.29729358661854943
274,-0.0,0.014511025110027609,0.29580711868545667
275,-0.0,0.0014959940176630937,0.2943280830920294
276,-0.0,0.016600553488064662,0.29285644267656924
277,-0.0,0.015425714740018748,0.2913921604631864
278,-0.0,0.015120702229754146,0.28993519966087045
279,-0.0,0.014847368884495893,0.2884855236625661
280,-0.0,0.03004374098016349,0.28704309604425327
281,-0.0,0.028579339600810272,0.285607880564032
282,-0.0,0.0008845621123327874,0.28417984116121187
283,-0.0,0.0004365972424208442,0.2827589419554058
284,-0.0,0.0002984913235906106,0.28134514724562876
285,-0.0,0.00022340966173572951,0.2799384215094006
286,-0.0,0.00020629488898293857,0.27853872940185365
287,-0.0,0.00021700446247452376,0.27714603575484437
288,-0.0,0.00016681490004266664,0.2757603055760701
289,-0.0,0.015308856267264304,0.2743815040481898
290,-0.0,0.029506837187778245,0.2730095965279488
291,-0.0,0.00047691576634179,0.27164454854530906
292,-0.0,0.0001742175868457707,0.2702863258025825
293,-0.0,9.21772684636668e-05,0.2689348941735696
294,-0.0,0.013536164904370818,0.26759021970270175
295,-0.0,0.00031331221939723264,0.2662522686041882
296,-0.0,0.015250960129097546,0.2649210072611673
297,-0.0,0.013594532576674756,0.26359640222486147
298,-0.0,0.0005768491291853195,0.26227842021373715
299,-0.0,0.00024529005685680616,0.2609670281126685
300,-0.0,0.01633602862136918,0.25966219297210513
301,-0.0,0.03077227865080283,0.2583638820072446
302,-0.0,0.014417607218632611,0.2570720625972084
303,-0.0,0.013308124117941134,0.25578670228422234
304,-0.0,0.00032327810458809836,0.25450776877280124
305,-0.0,0.00035280026503414774,0.2532352299289372
306,-0.0,0.00010998040747889348,0.2519690537792925
307,-0.0,6.923734486719013e-05,0.2507092085103961
308,-0.0,0.0159866899107719,0.2494556624678441
309,-0.0,0.015793736352359034,0.24820838415550486
310,-0.0,0.016228848827324782,0.24696734223472733
311,-0.0,0.01574018823077239,0.2457325055235537
312,-0.0,0.000838435088269307,0.24450384299593592
313,-0.0,0.0004896368677407281,0.24328132378095624
314,-0.0,0.01583101787336605,0.24206491716205145
315,-0.0,0.00020204601362117103,0.2408545925762412
316,-0.0,0.0001269811049517955,0.23965031961336
317,-0.0,0.029661515121030657,0.2384520680152932
318,-0.0,0.0008378308749854568,0.23725980767521673
319,-0.0,0.0007052107649201389,0.23607350863684065
320,-0.0,0.00020358490205296675,0.23489314109365644
321,-0.0,3.409639702312006e-05,0.23371867538818816
322,-0.0,7.047628896472702e-06,0.23255008201124722
323,-0.0,5.308847482510259e-06,0.231387331601191
324,-0.0,2.8465682859746266e-06,0.23023039494318503
325,-0.0,0.030875565728202048,0.2290792429684691
326,-0.0,0.015077543321996956,0.22793384675362674
327,-0.0,0.00015659221260477807,0.22679417751985861
328,-0.0,0.0152120984748354,0.22566020663225933
329,-0.0,0.031110021722099646,0.22453190559909803
330,-0.0,0.014637468044834318,0.22340924607110255
331,-0.0,0.0009176833324011646,0.22229219984074702
332,-0.0,0.00021361491376126196,0.2211807388415433
333,-0.0,0.014048177041969423,0.22007483514733558
334,-0.0,0.013804633238567152,0.2189744609715989
335,-0.0,0.0005129619336088354,0.2178795886667409
336,-0.0,0.00010734420390612343,0.2167901907234072
337,-0.0,6.596185069464994e-05,0.21570623976979014
338,-0.0,0.013874554952609586,0.21462770857094118
339,-0.0,0.00042292824552359054,0.21355457002808648
340,-0.0,0.0010568064109319764,0.21248679717794605
341,-0.0,0.0017846830975258854,0.21142436319205632
342,-0.0,0.012578650678790382,0.21036724137609603
343,-0.0,0.012551145768554761,0.20931540516921554
344,-0.0,0.00014875739977959768,0.20826882814336947
345,-0.0,0.014868659474449153,0.20722748400265262
346,-0.0,0.029045853584145798,0.20619134658263935
347,-0.0,0.02869765308756289,0.20516038984972615
348,-0.0,0.01417642776020725,0.2041345879004775
349,-0.0,8.575134792465633e-05,0.2031139149609751
350,-0.0,0.01395335228202299,0.20209834538617025
351,-0.0,0.0001262187269581716,0.2010878536592394
352,-0.0,7.47119570689847e-05,0.2000824143909432
353,-0.0,4.3215213167968614e-05,0.19908200231898848
354,-0.0,2.6647435473980963e-05,0.19808659230739353
355,-0.0,6.602394631571862e-06,0.19709615934585656
356,-0.0,7.378669577797706e-05,0.19611067854912728
357,-0.0,8.711007188466624e-06,0.19513012515638165
358,-0.0,5.160341272549213e-06,0.19415447453059972
359,-0.0,0.015842102346259677,0.19318370215794672
360,-0.0,0.01639666778936171,0.192217783647157
361,-0.0,0.0144969260880643,0.1912566947289212
362,-0.0,0.00018358717612443343,0.1903004112552766
363,-0.0,0.016195771592826702,0.18934890919900021
364,-0.0,0.031076840416289997,0.18840216465300522
365,-0.0,0.0004332030073470605,0.18746015382974018
366,-0.0,0.029188858313489163,0.1865228530605915
367,-1.0,0.01656815496642139,0.18559023879528855
368,-0.0,0.0002628351637363746,0.1846622876013121
369,-0.0,0.0004317703873433498,0.18373897616330553
370,-1.0,0.013545372238624509,0.182820281282489
371,-0.0,0.020145946561655137,0.18190617987607657
372,-0.0,0.0009912359004068984,0.18099664897669618
373,-0.0,0.00041846818000651487,0.1800916657318127
374,-0.0,0.00012945254129448358,0.17919120740315364
375,-0.0,4.4592096104079104e-05,0.17829525136613786
376,-0.0,2.999869693538857e-05,0.17740377510930716
377,-0.0,0.017207348066381092,0.17651675623376062
378,-0.0,0.0003430815653924224,0.1756341724525918
379,-0.0,0.015707296775439625,0.17475600159032884
380,-0.0,0.014479924339374506,0.17388222158237718
381,-0.0,0.014976442011210622,0.1730128104744653
382,-0.0,0.0004548810746909382,0.17214774642209296
383,-0.0,0.01684266827604905,0.1712870076899825
384,-0.0,0.02900646059689449,0.17043057265153258
