time,dir,queue,vehicles,mean_speed,lane_count,lane_configs,bus_count,bus_routes
1,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
1,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
1,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
1,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
2,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
2,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
2,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
2,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
3,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
3,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
3,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
3,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
4,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
4,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
4,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
4,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
5,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
5,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
5,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
5,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
6,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
6,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
