step,agent,reward,loss,epsilon
1,Vefa_244500423,-0.0,0,0.049911691230058335
2,Kulatov_244500424,-0.0,0,0.049911691230058335
3,Muka_280015410,-0.0,0,0.049911691230058335
4,Gorko_280015414,-1.0,0,0.049911691230058335
5,Kulatov_244500424,-1.55,0,0.049911691230058335
6,Muka_280015410,-0.0,0,0.049911691230058335
7,Vefa_244500423,-1.05,0,0.049911691230058335
8,Gorko_280015414,-1.4,0,0.049911691230058335
9,Muka_280015410,-0.0,0,0.049911691230058335
10,Kulatov_244500424,-3.2,0,0.049911691230058335
11,Vefa_244500423,-1.3,0,0.049911691230058335
12,Gorko_280015414,-0.0,0,0.049911691230058335
13,Muka_280015410,-0.0,0,0.049911691230058335
14,Kulatov_244500424,-0.0,0,0.049911691230058335
15,Vefa_244500423,-0.0,0,0.049911691230058335
16,Muka_280015410,-1.3,0,0.049911691230058335
17,Gorko_280015414,-1.15,0,0.049911691230058335
18,Kulatov_244500424,-3.2,0,0.049911691230058335
19,Muka_280015410,-2.05,0,0.049911691230058335
20,Vefa_244500423,-0.0,0,0.049911691230058335
21,Gorko_280015414,-3.25,0,0.049911691230058335
22,Kulatov_244500424,-0.0,0,0.049911691230058335
23,Muka_280015410,-2.8,0,0.049911691230058335
24,Vefa_244500423,-0.0,0,0.049911691230058335
25,Gorko_280015414,-0.0,0,0.049911691230058335
26,Kulatov_244500424,-0.0,0,0.049911691230058335
27,Muka_280015410,-1.45,0,0.049911691230058335
28,Vefa_244500423,-1.4,0,0.049911691230058335
29,Gorko_280015414,-2.7,0,0.049911691230058335
30,Kulatov_244500424,-1.2,0,0.049911691230058335
31,Muka_280015410,-0.0,0,0.049911691230058335
32,Vefa_244500423,-0.0,0,0.049911691230058335
33,Gorko_280015414,-1.75,0,0.049911691230058335
34,Kulatov_244500424,-0.0,0,0.049911691230058335
35,Muka_280015410,-0.0,0,0.049911691230058335
36,Vefa_244500423,-1.3,0,0.049911691230058335
37,Gorko_280015414,-0.0,0,0.049911691230058335
38,Muka_280015410,-0.0,0,0.049911691230058335
39,Kulatov_244500424,-0.0,0,0.049911691230058335
40,Vefa_244500423,-2.75,0,0.049911691230058335
41,Gorko_280015414,-0.0,0,0.049911691230058335
42,Muka_280015410,-0.0,0,0.049911691230058335
43,Kulatov_244500424,-1.65,0,0.049911691230058335
44,Vefa_244500423,-0.0,0,0.049911691230058335
45,Muka_280015410,-0.0,0,0.049911691230058335
46,Gorko_280015414,-0.0,0,0.049911691230058335
47,Kulatov_244500424,-1.7000000000000002,0,0.049911691230058335
48,Vefa_244500423,-1.15,0,0.049911691230058335
49,Muka_280015410,-0.0,0,0.049911691230058335
50,Gorko_280015414,-2.3,0,0.049911691230058335
51,Kulatov_244500424,-0.0,0,0.049911691230058335
52,Muka_280015410,-0.0,0,0.049911691230058335
53,Vefa_244500423,-0.0,0,0.049911691230058335
54,Kulatov_244500424,-1.45,0,0.049911691230058335
55,Gorko_280015414,-2.4,0,0.049911691230058335
56,Muka_280015410,-0.0,0,0.049911691230058335
57,Vefa_244500423,-1.25,0,0.049911691230058335
58,Kulatov_244500424,-3.2,0,0.049911691230058335
59,Gorko_280015414,-1.15,0,0.049911691230058335
60,Muka_280015410,-3.2,0,0.049911691230058335
61,Vefa_244500423,-1.65,0,0.049911691230058335
62,Kulatov_244500424,-0.0,0,0.049911691230058335
63,Gorko_280015414,-3.0,0,0.049911691230058335
64,Muka_280015410,-0.65,0,0.049911691230058335
65,Vefa_244500423,-2.5,0,0.049911691230058335
66,Kulatov_244500424,-0.0,0,0.049911691230058335
67,Gorko_280015414,-1.75,0,0.049911691230058335
68,Muka_280015410,-2.4000000000000004,0,0.049911691230058335
69,Kulatov_244500424,-1.15,0,0.049911691230058335
70,Vefa_244500423,-4.95,0,0.049911691230058335
71,Muka_280015410,-3.15,0,0.049911691230058335
72,Gorko_280015414,-3.45,0,0.049911691230058335
73,Kulatov_244500424,-1.25,0,0.049911691230058335
74,Vefa_244500423,-0.0,0,0.049911691230058335
75,Muka_280015410,-0.0,0,0.049911691230058335
76,Gorko_280015414,-3.7,0,0.049911691230058335
77,Vefa_244500423,-1.55,0,0.049911691230058335
78,Kulatov_244500424,-0.0,0,0.049911691230058335
79,Muka_280015410,-0.0,0,0.049911691230058335
80,Gorko_280015414,-0.0,0,0.049911691230058335
81,Kulatov_244500424,-1.1,0,0.049911691230058335
82,Vefa_244500423,-2.6,0,0.049911691230058335
83,Muka_280015410,-0.0,0,0.049911691230058335
84,Gorko_280015414,-3.3,0,0.049911691230058335
85,Kulatov_244500424,-0.0,0,0.049911691230058335
86,Vefa_244500423,-0.0,0,0.049911691230058335
87,Muka_280015410,-0.0,0,0.049911691230058335
88,Gorko_280015414,-0.0,0,0.049911691230058335
89,Vefa_244500423,-1.2,0,0.049911691230058335
90,Muka_280015410,-0.0,0,0.049911691230058335
91,Kulatov_244500424,-1.2,0,0.049911691230058335
92,Muka_280015410,-0.0,0,0.049911691230058335
93,Gorko_280015414,-0.0,0,0.049911691230058335
94,Vefa_244500423,-4.9,0,0.049911691230058335
95,Kulatov_244500424,-0.0,0,0.049911691230058335
96,Muka_280015410,-0.0,0,0.049911691230058335
97,Gorko_280015414,-0.0,0,0.049911691230058335
98,Vefa_244500423,-0.0,0,0.049911691230058335
99,Kulatov_244500424,-0.0,0,0.049911691230058335
100,Muka_280015410,-1.1,0,0.049911691230058335
101,Vefa_244500423,-0.0,0,0.049911691230058335
102,Gorko_280015414,-1.3,0,0.049911691230058335
103,Kulatov_244500424,-0.0,0,0.049911691230058335
104,Muka_280015410,-1.85,0,0.049911691230058335
105,Vefa_244500423,-1.2,0,0.049911691230058335
106,Kulatov_244500424,-1.4,0,0.049911691230058335
107,Gorko_280015414,-4.3,0,0.049911691230058335
108,Muka_280015410,-2.6,0,0.049911691230058335
109,Vefa_244500423,-4.3,0,0.049911691230058335
110,Kulatov_244500424,-1.1,0,0.049911691230058335
111,Gorko_280015414,-3.1,0,0.049911691230058335
112,Muka_280015410,-1.1,0,0.049911691230058335
113,Vefa_244500423,-2.75,0,0.049911691230058335
114,Kulatov_244500424,-2.5,0,0.049911691230058335
115,Gorko_280015414,-3.3,0,0.049911691230058335
116,Muka_280015410,-0.0,4.586886907578446,0.049911691230058335
117,Vefa_244500423,-7.050000000000001,0,0.049911691230058335
118,Gorko_280015414,-4.800000000000001,0,0.049911691230058335
119,Kulatov_244500424,-1.45,0,0.049911691230058335
120,Muka_280015410,-0.0,2.957291268689005,0.049911691230058335
121,Vefa_244500423,-1.3,0,0.049911691230058335
122,Muka_280015410,-0.0,2.713280071533518,0.049911691230058335
123,Gorko_280015414,-1.1,0,0.049911691230058335
124,Kulatov_244500424,-1.4,0,0.049911691230058335
125,Vefa_244500423,-1.15,0,0.049911691230058335
126,Muka_280015410,-1.65,2.22558241333536,0.049911691230058335
127,Gorko_280015414,-3.0,0,0.049911691230058335
128,Kulatov_244500424,-1.25,2.114694073999999,0.049911691230058335
129,Muka_280015410,-2.4000000000000004,1.5980051907827146,0.049911691230058335
130,Vefa_244500423,-5.65,3.6290397058910457,0.049911691230058335
131,Gorko_280015414,-1.05,0,0.049911691230058335
132,Kulatov_244500424,-2.35,1.5504991564557713,0.049911691230058335
133,Muka_280015410,-3.15,0.9782838003743564,0.049911691230058335
134,Vefa_244500423,-2.65,2.7146341606005535,0.049911691230058335
135,Gorko_280015414,-2.35,5.149582821533841,0.049911691230058335
136,Kulatov_244500424,-0.0,0.9102732558603748,0.049911691230058335
137,Muka_280015410,-1.4,1.1587355507811026,0.049911691230058335
138,Vefa_244500423,-1.15,2.1683737833964187,0.049911691230058335
139,Gorko_280015414,-0.0,6.940346942472388,0.049911691230058335
140,Kulatov_244500424,-0.0,0.7668520978772904,0.049911691230058335
141,Muka_280015410,-5.25,0.6463098924214137,0.049911691230058335
142,Vefa_244500423,-4.9,2.7153736711479723,0.049911691230058335
143,Kulatov_244500424,-0.0,0.8832169776633236,0.049911691230058335
144,Gorko_280015414,-0.0,4.271795327658765,0.049911691230058335
145,Muka_280015410,-0.0,0.7074489139813522,0.049911691230058335
146,Vefa_244500423,-0.0,2.4045679630726227,0.049911691230058335
147,Kulatov_244500424,-1.4,0.5540681765460249,0.049911691230058335
148,Muka_280015410,-0.0,1.0958983259924935,0.049911691230058335
149,Gorko_280015414,-10.15,3.3763165450654924,0.049911691230058335
150,Vefa_244500423,-0.0,1.9354881900517285,0.049911691230058335
151,Kulatov_244500424,-0.0,0.621178432927536,0.049911691230058335
152,Muka_280015410,-0.0,0.6337754823856407,0.049911691230058335
153,Gorko_280015414,-0.0,3.3410923457704484,0.049911691230058335
154,Muka_280015410,-0.0,0.4909293075206733,0.049911691230058335
155,Vefa_244500423,-1.3,2.0623922220256645,0.049911691230058335
156,Kulatov_244500424,-0.0,0.40603699257189874,0.049911691230058335
157,Gorko_280015414,-4.15,3.1516608753590845,0.049911691230058335
158,Muka_280015410,-1.2,0.5232597829035512,0.049911691230058335
159,Kulatov_244500424,-2.85,0.40963324960466707,0.049911691230058335
160,Vefa_244500423,-0.0,1.7964190611965023,0.049911691230058335
161,Gorko_280015414,-2.4,2.428640414248548,0.049911691230058335
162,Muka_280015410,-5.1,0.8138626958298119,0.049911691230058335
163,Kulatov_244500424,-1.75,0.5159250238413051,0.049911691230058335
164,Vefa_244500423,-3.3,1.9437111749866745,0.049911691230058335
165,Gorko_280015414,-1.05,2.4849648559120396,0.049911691230058335
166,Muka_280015410,-0.0,0.5726152667939459,0.049911691230058335
167,Kulatov_244500424,-0.0,0.4843061780265998,0.049911691230058335
168,Vefa_244500423,-0.0,2.119534897072299,0.049911691230058335
169,Gorko_280015414,-0.0,1.3117279425105153,0.049911691230058335
170,Muka_280015410,-0.0,0.6150154613278573,0.049911691230058335
171,Kulatov_244500424,-1.55,0.3125304660625261,0.049911691230058335
172,Vefa_244500423,-3.25,2.6864333092635206,0.049911691230058335
173,Muka_280015410,-0.0,0.9512845770186686,0.049911691230058335
174,Gorko_280015414,-1.6,1.757924586096351,0.049911691230058335
175,Vefa_244500423,-8.8,1.6909422407479724,0.049911691230058335
176,Kulatov_244500424,-1.75,0.446140948932225,0.049911691230058335
177,Muka_280015410,-0.0,0.6485202248441055,0.049911691230058335
178,Gorko_280015414,-0.0,1.4807188316699467,0.049911691230058335
179,Vefa_244500423,-6.35,2.5352915274615953,0.049911691230058335
180,Kulatov_244500424,-1.8,0.29792053463827983,0.049911691230058335
181,Muka_280015410,-0.0,0.6555167775950395,0.049911691230058335
182,Gorko_280015414,-1.6,1.8579953765147366,0.049911691230058335
183,Vefa_244500423,-4.3,2.347029415090219,0.049911691230058335
184,Muka_280015410,-0.0,0.45418662715655955,0.049911691230058335
