timestamp,car,bus,truck,motorcycle,total_count
2026-04-09 00:33:57,2,1,0,0,3
2026-04-09 00:33:58,0,1,0,0,1
2026-04-09 00:33:58,1,1,0,0,2
2026-04-09 00:33:58,1,1,0,0,2
2026-04-09 00:33:58,1,1,1,0,3
2026-04-09 00:33:58,1,1,1,0,3
2026-04-09 00:33:58,1,1,0,0,2
2026-04-09 00:33:58,2,1,1,0,4
2026-04-09 00:33:58,3,1,1,0,5
2026-04-09 00:33:59,2,1,0,0,3
2026-04-09 00:33:59,2,1,0,0,3
2026-04-09 00:33:59,1,1,0,0,2
2026-04-09 00:33:59,2,1,0,0,3
2026-04-09 00:33:59,3,1,0,0,4
2026-04-09 00:33:59,3,1,0,0,4
2026-04-09 00:33:59,3,1,0,0,4
2026-04-09 00:33:59,3,1,1,0,5
2026-04-09 00:33:59,2,1,0,0,3
2026-04-09 00:33:59,2,1,0,0,3
2026-04-09 00:34:00,3,1,1,0,5
2026-04-09 00:34:00,0,1,0,0,1
2026-04-09 00:34:00,2,1,1,0,4
2026-04-09 00:34:00,1,1,0,0,2
2026-04-09 00:34:00,1,1,0,0,2
2026-04-09 00:34:00,2,1,0,0,3
2026-04-09 00:34:00,3,1,0,0,4
2026-04-09 00:34:00,1,1,0,0,2
2026-04-09 00:34:00,2,1,0,0,3
2026-04-09 00:34:00,2,1,0,0,3
2026-04-09 00:34:01,0,3,0,0,3
2026-04-09 00:34:01,1,2,0,0,3
2026-04-09 00:34:01,1,2,0,0,3
2026-04-09 00:34:01,1,2,0,0,3
2026-04-09 00:34:01,1,3,0,0,4
2026-04-09 00:34:01,1,2,0,0,3
2026-04-09 00:34:01,2,1,0,0,3
2026-04-09 00:34:01,1,3,0,0,4
2026-04-09 00:34:02,1,2,1,0,4
