timestamp,total_vehicles,lane_left,lane_center,lane_right,vehicles_details
2026-04-14 14:34:11,0,0,0,0,
2026-04-14 14:34:11,0,0,0,0,
2026-04-14 14:34:11,0,0,0,0,
2026-04-14 14:34:11,0,0,0,0,
2026-04-14 14:34:12,0,0,0,0,
2026-04-14 14:34:12,0,0,0,0,
2026-04-14 14:34:12,0,0,0,0,
2026-04-14 14:34:12,0,0,0,0,
2026-04-14 14:34:12,0,0,0,0,
2026-04-14 14:34:12,0,0,0,0,
2026-04-14 14:34:12,0,0,0,0,
2026-04-14 14:34:12,0,0,0,0,
2026-04-14 14:34:12,0,0,0,0,
2026-04-14 14:34:12,0,0,0,0,
2026-04-14 14:34:12,0,0,0,0,
2026-04-14 14:34:12,0,0,0,0,
2026-04-14 14:34:12,0,0,0,0,
2026-04-14 14:34:12,0,0,0,0,
2026-04-14 14:34:12,0,0,0,0,
2026-04-14 14:34:12,0,0,0,0,
2026-04-14 14:34:12,0,0,0,0,
2026-04-14 14:34:12,0,0,0,0,
2026-04-14 14:34:12,0,0,0,0,
2026-04-14 14:34:12,0,0,0,0,
2026-04-14 14:34:13,0,0,0,0,
2026-04-14 14:34:13,0,0,0,0,
2026-04-14 14:34:13,0,0,0,0,
2026-04-14 14:34:13,0,0,0,0,
2026-04-14 14:34:13,0,0,0,0,
2026-04-14 14:34:13,0,0,0,0,
2026-04-14 14:34:13,0,0,0,0,
2026-04-14 14:34:13,0,0,0,0,
2026-04-14 14:34:13,0,0,0,0,
2026-04-14 14:34:13,0,0,0,0,
2026-04-14 14:34:13,0,0,0,0,
2026-04-14 14:34:13,0,0,0,0,
2026-04-14 14:34:13,0,0,0,0,
2026-04-14 14:34:13,0,0,0,0,
2026-04-14 14:34:13,0,0,0,0,
2026-04-14 14:34:13,0,0,0,0,
2026-04-14 14:34:13,0,0,0,0,
2026-04-14 14:34:13,0,0,0,0,
2026-04-14 14:34:14,0,0,0,0,
2026-04-14 14:34:14,0,0,0,0,
2026-04-14 14:34:14,0,0,0,0,
2026-04-14 14:34:14,0,0,0,0,
2026-04-14 14:34:14,0,0,0,0,
2026-04-14 14:34:14,0,0,0,0,
2026-04-14 14:34:14,0,0,0,0,
2026-04-14 14:34:14,0,0,0,0,
2026-04-14 14:34:14,0,0,0,0,
2026-04-14 14:34:14,0,0,0,0,
2026-04-14 14:34:14,0,0,0,0,
2026-04-14 14:34:14,0,0,0,0,
2026-04-14 14:34:14,0,0,0,0,
2026-04-14 14:34:14,0,0,0,0,
2026-04-14 14:34:14,0,0,0,0,
2026-04-14 14:34:14,0,0,0,0,
2026-04-14 14:34:14,0,0,0,0,
2026-04-14 14:34:14,0,0,0,0,
2026-04-14 14:34:14,0,0,0,0,
2026-04-14 14:34:15,0,0,0,0,
2026-04-14 14:34:15,0,0,0,0,
2026-04-14 14:34:15,0,0,0,0,
2026-04-14 14:34:15,0,0,0,0,
2026-04-14 14:34:15,0,0,0,0,
2026-04-14 14:34:15,0,0,0,0,
2026-04-14 14:34:15,0,0,0,0,
2026-04-14 14:34:15,0,0,0,0,
2026-04-14 14:34:15,0,0,0,0,
2026-04-14 14:34:15,0,0,0,0,
2026-04-14 14:34:15,0,0,0,0,
2026-04-14 14:34:15,0,0,0,0,
2026-04-14 14:34:15,0,0,0,0,
2026-04-14 14:34:16,0,0,0,0,
2026-04-14 14:34:16,0,0,0,0,
2026-04-14 14:34:16,0,0,0,0,
2026-04-14 14:34:16,0,0,0,0,
2026-04-14 14:34:17,0,0,0,0,
2026-04-14 14:34:17,0,0,0,0,
2026-04-14 14:34:17,0,0,0,0,
2026-04-14 14:34:17,0,0,0,0,
2026-04-14 14:34:17,0,0,0,0,
2026-04-14 14:34:17,0,0,0,0,
2026-04-14 14:34:17,0,0,0,0,
2026-04-14 14:34:17,0,0,0,0,
2026-04-14 14:34:17,0,0,0,0,
2026-04-14 14:34:17,0,0,0,0,
2026-04-14 14:34:17,0,0,0,0,
2026-04-14 14:34:17,0,0,0,0,
2026-04-14 14:34:17,0,0,0,0,
2026-04-14 14:34:17,0,0,0,0,
2026-04-14 14:34:17,0,0,0,0,
2026-04-14 14:34:17,0,0,0,0,
2026-04-14 14:34:17,0,0,0,0,
2026-04-14 14:34:17,0,0,0,0,
2026-04-14 14:34:18,0,0,0,0,
2026-04-14 14:34:18,0,0,0,0,
2026-04-14 14:34:18,0,0,0,0,
2026-04-14 14:34:18,0,0,0,0,
2026-04-14 14:34:18,0,0,0,0,
2026-04-14 14:34:18,0,0,0,0,
2026-04-14 14:34:18,0,0,0,0,
2026-04-14 14:34:18,0,0,0,0,
2026-04-14 14:34:18,0,0,0,0,
2026-04-14 14:34:18,0,0,0,0,
2026-04-14 14:34:18,0,0,0,0,
2026-04-14 14:34:18,0,0,0,0,
2026-04-14 14:34:18,0,0,0,0,
2026-04-14 14:34:18,0,0,0,0,
2026-04-14 14:34:18,0,0,0,0,
2026-04-14 14:34:18,0,0,0,0,
2026-04-14 14:34:18,0,0,0,0,
2026-04-14 14:34:18,0,0,0,0,
2026-04-14 14:34:19,0,0,0,0,
2026-04-14 14:34:19,0,0,0,0,
2026-04-14 14:34:19,0,0,0,0,
2026-04-14 14:34:19,0,0,0,0,
2026-04-14 14:34:19,0,0,0,0,
2026-04-14 14:34:19,0,0,0,0,
2026-04-14 14:34:19,0,0,0,0,
2026-04-14 14:34:19,0,0,0,0,
2026-04-14 14:34:19,0,0,0,0,
2026-04-14 14:34:19,0,0,0,0,
2026-04-14 14:34:19,0,0,0,0,
