time,intersection,queue,vehicles,mean_speed,lane_count,lane_configs,bus_count,bus_routes
190,Vefa_244500423,0,3,58.58,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
190,Kulatov_244500424,0,0,0,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
200,Vefa_244500423,0,3,55.13,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
200,Kulatov_244500424,0,0,0,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
210,Vefa_244500423,1,4,50.76,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
210,Kulatov_244500424,0,1,59.03,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
220,Vefa_244500423,2,5,44.51,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
220,Kulatov_244500424,0,0,0,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
230,Vefa_244500423,0,0,0,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
230,Kulatov_244500424,0,1,59.1,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
240,Vefa_244500423,0,0,0,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
240,Kulatov_244500424,0,0,0,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
250,Vefa_244500423,0,3,56.7,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
250,Kulatov_244500424,0,0,0,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
260,Vefa_244500423,0,2,59.38,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
260,Kulatov_244500424,0,0,0,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
270,Vefa_244500423,0,0,0,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
270,Kulatov_244500424,0,0,0,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
280,Vefa_244500423,0,1,59.52,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
280,Kulatov_244500424,0,1,57.77,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
290,Vefa_244500423,0,2,47.91,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
290,Kulatov_244500424,0,0,0,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
300,Vefa_244500423,2,8,45.47,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
