time,dir,queue,vehicles,mean_speed,lane_count,lane_configs,bus_count,bus_routes
160,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
160,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
160,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
160,S,0,1,58.79,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
170,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
170,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
170,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
170,S,0,1,59.89,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
180,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
180,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
180,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
180,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
190,W,0,1,59.25,4,L0(s)|L1(s) / L0(l)|L1(l),0,
190,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
190,E,0,2,58.81,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
190,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
200,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
200,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
200,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
200,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
210,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
210,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
210,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
210,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
220,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
220,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
220,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
220,S,0,1,57.79,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
230,W,0,1,58.95,4,L0(s)|L1(s) / L0(l)|L1(l),0,
230,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
230,E,0,1,59.12,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
230,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
240,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
240,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
240,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
240,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
250,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
250,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
250,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
250,S,0,1,57.22,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
260,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
260,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
260,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
260,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
270,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
270,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
270,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
270,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
280,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
280,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
280,E,0,2,58.65,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
280,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
290,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
290,N,0,1,59.81,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
290,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
290,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
300,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
300,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
300,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
300,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
310,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
310,N,0,1,59.2,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
310,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
310,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
320,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
320,N,0,1,58.99,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
320,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
320,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
330,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
330,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
330,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
330,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
340,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
340,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
340,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
340,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
350,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
350,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
350,E,0,1,58.02,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
350,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
360,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
360,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
360,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
360,S,0,1,54.64,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
370,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
370,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
370,E,0,1,59.91,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
370,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
380,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
380,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
380,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
380,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
390,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
390,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
390,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
390,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
400,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
400,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
400,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
400,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
410,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
410,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
410,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
410,S,0,0,0,6,L0(s)|L1(s)|L2(s) / L0(l)|L1(l)|L2(l),0,
420,W,0,0,0,4,L0(s)|L1(s) / L0(l)|L1(l),0,
420,N,0,0,0,6,L0(r)|L1(r)|L2(r) / L0(s)|L1(s)|L2(s),0,
420,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(s),0,
